Timestamp,Steps,HeartRate,Temperature,Oxygen
2025-05-28 20:34:50,0,0,31.78882,44.54546
2025-05-28 20:34:51,0,0,31.78,43.57399
2025-05-28 20:34:51,0,0,31.77118,45.09109
2025-05-28 20:34:51,0,0,31.77118,45.09109
2025-05-28 20:34:51,0,0,31.76824,45.01992
2025-05-28 20:34:51,0,0,31.76824,45.01992
2025-05-28 20:34:51,0,0,31.77412,44.77387
2025-05-28 20:34:51,0,0,31.77412,44.77387
2025-05-28 20:34:51,0,0,31.76235,41.27992
2025-05-28 20:34:51,0,0,31.76235,41.27992
2025-05-28 20:34:52,0,0,31.7653,44.32325
2025-05-28 20:34:52,0,0,31.7653,44.32325
2025-05-28 20:34:52,0,0,31.75941,45.03476
2025-05-28 20:34:52,0,0,31.75941,45.03476
2025-05-28 20:34:52,0,0,31.76235,44.85514
2025-05-28 20:34:52,0,0,31.76235,44.85514
2025-05-28 20:34:52,0,0,31.7653,41.46699
2025-05-28 20:34:52,0,0,31.7653,41.46699
2025-05-28 20:34:52,0,0,31.76824,44.14946
2025-05-28 20:34:52,0,0,31.76824,44.14946
2025-05-28 20:34:53,0,0,31.77118,44.8858
2025-05-28 20:34:53,0,0,31.77118,44.8858
2025-05-28 20:34:53,0,0,31.75647,45.00249
2025-05-28 20:34:53,0,0,31.75941,48.96307
2025-05-28 20:34:53,0,0,31.74765,44.16094
2025-05-28 20:34:53,0,0,31.75647,45.00249
2025-05-28 20:34:53,0,0,31.75941,48.96307
2025-05-28 20:34:53,0,0,31.74765,44.16094
2025-05-28 20:34:53,0,0,31.75647,44.97012
2025-05-28 20:34:53,0,0,31.75647,44.97012
2025-05-28 20:34:54,0,0,31.75647,44.92537
2025-05-28 20:34:54,0,0,31.75647,44.92537
2025-05-28 20:34:54,0,0,31.74765,41.22765
2025-05-28 20:34:54,0,0,31.74765,41.22765
2025-05-28 20:34:54,0,0,31.74765,44.5691
2025-05-28 20:34:54,0,0,31.74765,44.5691
2025-05-28 20:34:54,0,0,31.75353,45.18849
2025-05-28 20:34:54,0,0,31.75353,45.18849
2025-05-28 20:34:54,0,0,31.73882,43.60672
2025-05-28 20:34:54,0,0,31.73882,43.60672
2025-05-28 20:34:55,0,0,31.74765,48.93194
2025-05-28 20:34:55,0,0,31.74765,48.93194
2025-05-28 20:34:55,0,0,31.73882,45.69537
2025-05-28 20:34:55,0,0,31.73882,45.69537
2025-05-28 20:34:55,0,0,31.73294,45.56213
2025-05-28 20:34:55,0,0,31.73294,45.56213
2025-05-28 20:34:55,0,0,31.74176,47.74775
2025-05-28 20:34:55,0,0,31.74176,47.74775
2025-05-28 20:34:55,0,0,31.74471,48.58561
2025-05-28 20:34:55,0,0,31.74471,48.58561
2025-05-28 20:34:56,0,0,31.73882,45.45908
2025-05-28 20:34:56,0,0,31.73882,45.45908
2025-05-28 20:34:56,0,0,31.75059,44.57478
2025-05-28 20:34:56,0,0,31.75059,44.57478
2025-05-28 20:34:56,0,0,31.74471,43.29114
2025-05-28 20:34:56,0,0,31.74471,43.29114
2025-05-28 20:34:56,0,0,31.74765,42.27799
2025-05-28 20:34:56,0,0,31.74765,42.27799
2025-05-28 20:34:56,0,0,31.73588,45.97876
2025-05-28 20:34:56,0,0,31.73588,45.97876
2025-05-28 20:34:57,0,0,31.73294,44.49902
2025-05-28 20:34:57,0,0,31.73588,49.17127
2025-05-28 20:34:57,0,0,31.73294,44.49902
2025-05-28 20:34:57,0,0,31.73588,49.17127
2025-05-28 20:34:57,0,0,31.74471,47.41807
2025-05-28 20:34:57,0,0,31.74471,47.41807
2025-05-28 20:34:57,0,0,31.73588,45.25584
2025-05-28 20:34:57,0,0,31.73588,45.25584
2025-05-28 20:34:57,0,0,31.74471,45.54407
2025-05-28 20:34:57,0,0,31.74471,45.54407
2025-05-28 20:34:58,0,0,31.74176,42.11577
2025-05-28 20:34:58,0,0,31.74176,42.11577
2025-05-28 20:34:58,0,0,31.73882,43.28285
2025-05-28 20:34:58,0,0,31.73882,43.28285
2025-05-28 20:34:58,0,0,31.72706,45.16451
2025-05-28 20:34:58,0,0,31.72706,45.16451
2025-05-28 20:34:58,0,0,31.73882,44.86862
2025-05-28 20:34:58,0,0,31.73882,44.86862
2025-05-28 20:34:58,0,0,31.73588,49.29648
2025-05-28 20:34:58,0,0,31.73588,49.29648
2025-05-28 20:34:59,0,0,31.73882,45.22003
2025-05-28 20:34:59,0,0,31.73882,45.22003
2025-05-28 20:34:59,0,0,31.73588,45.19183
2025-05-28 20:34:59,0,0,31.73588,45.19183
2025-05-28 20:34:59,0,0,31.71824,47.65784
2025-05-28 20:34:59,0,0,31.71824,47.65784
2025-05-28 20:34:59,0,0,31.73882,41.89781
2025-05-28 20:34:59,0,0,31.73882,41.89781
2025-05-28 20:34:59,0,0,31.73294,45.81231
2025-05-28 20:34:59,0,0,31.73294,45.81231
2025-05-28 20:35:00,0,0,31.73588,44.41177
2025-05-28 20:35:00,0,0,31.73588,44.41177
2025-05-28 20:35:00,0,0,31.73294,47.77553
2025-05-28 20:35:00,0,0,31.73294,47.77553
2025-05-28 20:35:00,0,0,31.73294,48.63388
2025-05-28 20:35:00,0,0,31.73294,48.63388
